mode,seq,arrival_timestamp,esp_time_ms,raw_value,filtered_cloud,filtered_edge,cloud_processing_ms,edge_processing_ms,arrival_interval_ms,sender_ip,sender_port
B,48,1777386900.484113,2450.0,3.357695,,1.588914,0.0,24.554001,51.12147331237793,192.168.100.219,1235
B,49,1777386900.5400736,2500.0,1.449326,,1.566425,0.0,24.320999,55.960655212402344,192.168.100.219,1235
B,50,1777386900.5866873,2550.0,2.044436,,1.640851,0.0,24.43,46.61369323730469,192.168.100.219,1235
B,51,1777386900.6320772,2600.0,1.619568,,1.630977,0.0,24.379,45.38989067077637,192.168.100.219,1235
B,52,1777386900.7036855,2650.0,2.699228,,1.804517,0.0,24.546,71.60830497741699,192.168.100.219,1235
B,53,1777386900.7513423,2700.0,1.145288,,1.691707,0.0,24.413,47.65677452087402,192.168.100.219,1235
B,54,1777386900.796094,2750.0,2.981368,,1.924845,0.0,24.513,44.751644134521484,192.168.100.219,1235
B,55,1777386900.8423376,2800.0,1.346265,,1.824632,0.0,24.427,46.24366760253906,192.168.100.219,1235
B,56,1777386900.8975327,2850.0,0.938412,,1.671197,0.0,24.51,55.19509315490723,192.168.100.219,1235
B,57,1777386900.9441504,2900.0,0.800376,,1.512352,0.0,24.479,46.617746353149414,192.168.100.219,1235
B,58,1777386900.9958074,2950.0,1.532354,,1.506957,0.0,24.341999,51.65696144104004,192.168.100.219,1235
B,59,1777386901.046916,3000.0,-0.137072,,1.236661,0.0,24.552999,51.108598709106445,192.168.100.219,1235
B,60,1777386901.0955021,3050.0,0.954477,,1.190388,0.0,24.367001,48.586130142211914,192.168.100.219,1235
B,61,1777386901.152601,3100.0,0.267386,,1.038727,0.0,24.454,57.0988655090332,192.168.100.219,1235
B,62,1777386901.196516,3150.0,-0.65517,,0.76699,0.0,24.6,43.9150333404541,192.168.100.219,1235
B,63,1777386901.242775,3200.0,-1.470602,,0.395964,0.0,24.629999,46.25892639160156,192.168.100.219,1235
B,64,1777386901.2935238,3250.0,-0.199886,,0.295913,0.0,24.422001,50.74882507324219,192.168.100.219,1235
B,65,1777386901.3458545,3300.0,-2.125854,,-0.095303,0.0,24.521999,52.330732345581055,192.168.100.219,1235
B,66,1777386901.3867033,3350.0,-1.328616,,-0.276851,0.0,24.417,40.848731994628906,192.168.100.219,1235
B,67,1777386901.4523861,3400.0,-0.664617,,-0.344354,0.0,24.444,65.68288803100586,192.168.100.219,1235
B,68,1777386901.4970639,3450.0,-0.976434,,-0.441718,0.0,24.347,44.677734375,192.168.100.219,1235
B,69,1777386901.5374303,3500.0,-2.77662,,-0.811404,0.0,24.587999,40.366411209106445,192.168.100.219,1235
B,70,1777386901.6021225,3550.0,-2.368847,,-1.08186,0.0,24.514,64.69225883483887,192.168.100.219,1235
B,71,1777386901.6361878,3600.0,-1.836364,,-1.214599,0.0,24.450001,34.06524658203125,192.168.100.219,1235
B,72,1777386901.6822085,3650.0,-1.106102,,-1.20037,0.0,24.427999,46.0207462310791,192.168.100.219,1235
B,73,1777386901.7311647,3700.0,-1.577283,,-1.264651,0.0,24.398001,48.95615577697754,192.168.100.219,1235
B,74,1777386901.7812023,3750.0,-1.336704,,-1.282153,0.0,24.375999,50.03762245178223,192.168.100.219,1235
B,75,1777386901.8305588,3800.0,-1.594574,,-1.338186,0.0,24.351999,49.35646057128906,192.168.100.219,1235
B,76,1777386901.8838782,3850.0,-0.682192,,-1.224353,0.0,24.433001,53.319454193115234,192.168.100.219,1235
B,77,1777386901.9314299,3900.0,-0.403914,,-1.074622,0.0,24.445,47.551631927490234,192.168.100.219,1235
B,78,1777386901.982788,3950.0,0.88744,,-0.736814,0.0,24.502001,51.35822296142578,192.168.100.219,1235
B,79,1777386902.0311081,4000.0,0.304318,,-0.571126,0.0,24.488001,48.32005500793457,192.168.100.219,1235
B,80,1777386902.0808818,4050.0,-0.001213,,-0.492461,0.0,24.42,49.7736930847168,192.168.100.219,1235
B,81,1777386902.1320727,4100.0,1.418799,,-0.202481,0.0,24.601,51.190853118896484,192.168.100.219,1235
B,82,1777386902.182372,4150.0,0.636006,,-0.082902,0.0,24.392,50.29940605163574,192.168.100.219,1235
B,83,1777386902.2312012,4200.0,1.532837,,0.154856,0.0,24.625999,48.829078674316406,192.168.100.219,1235
B,84,1777386902.2811756,4250.0,1.251455,,0.316029,0.0,24.535,49.97444152832031,192.168.100.219,1235
B,85,1777386902.350161,4300.0,1.758654,,0.532715,0.0,24.525,68.9854621887207,192.168.100.219,1235
B,86,1777386902.3827178,4350.0,1.698316,,0.713426,0.0,24.596001,32.556772232055664,192.168.100.219,1235
B,87,1777386902.4342403,4400.0,1.519085,,0.838812,0.0,24.483,51.52249336242676,192.168.100.219,1235
B,88,1777386902.4998908,4450.0,1.888216,,1.003971,0.0,24.474001,65.65046310424805,192.168.100.219,1235
B,89,1777386902.5346742,4500.0,3.435412,,1.398977,0.0,24.559,34.783363342285156,192.168.100.219,1235
B,90,1777386902.5934114,4550.0,2.273979,,1.561246,0.0,24.48,58.73727798461914,192.168.100.219,1235
B,91,1777386902.632327,4600.0,1.778364,,1.607092,0.0,24.295,38.91563415527344,192.168.100.219,1235
B,92,1777386902.6836655,4650.0,2.543715,,1.781162,0.0,24.504,51.33843421936035,192.168.100.219,1235
B,93,1777386902.7334766,4700.0,2.67412,,1.919595,0.0,24.525999,49.81112480163574,192.168.100.219,1235
B,94,1777386902.7878659,4750.0,1.20051,,1.798198,0.0,24.524,54.389238357543945,192.168.100.219,1235
B,95,1777386902.839563,4800.0,2.482585,,1.909544,0.0,24.384001,51.6970157623291,192.168.100.219,1235
B,96,1777386902.8840683,4850.0,0.705081,,1.711392,0.0,24.576,44.50535774230957,192.168.100.219,1235
B,97,1777386902.9311001,4900.0,-0.036767,,1.425219,0.0,24.545,47.03187942504883,192.168.100.219,1235
B,98,1777386902.982558,4950.0,1.69573,,1.462879,0.0,24.465,51.457881927490234,192.168.100.219,1235
B,99,1777386903.038341,5000.0,0.714869,,1.348321,0.0,24.476999,55.78303337097168,192.168.100.219,1235
B,100,1777386903.0894942,5050.0,-0.215575,,1.087918,0.0,24.642,51.15318298339844,192.168.100.219,1235
B,101,1777386903.1482348,5100.0,-1.598914,,0.705066,0.0,24.496,58.74061584472656,192.168.100.219,1235
B,102,1777386903.192337,5150.0,-0.023366,,0.610142,0.0,24.465,44.10219192504883,192.168.100.219,1235
B,103,1777386903.248838,5200.0,0.517788,,0.592388,0.0,24.391001,56.500911712646484,192.168.100.219,1235
B,104,1777386903.290819,5250.0,-0.712113,,0.424439,0.0,24.555,41.98098182678223,192.168.100.219,1235
B,105,1777386903.3557212,5300.0,0.06629,,0.367299,0.0,24.41,64.90230560302734,192.168.100.219,1235
B,106,1777386903.391803,5350.0,-1.533184,,0.081986,0.0,24.638,36.081790924072266,192.168.100.219,1235
B,107,1777386903.4417546,5400.0,-0.484502,,-4e-05,0.0,24.468,49.95155334472656,192.168.100.219,1235
B,108,1777386903.491839,5450.0,-1.684457,,-0.315643,0.0,24.604,50.08435249328613,192.168.100.219,1235
B,109,1777386903.5437984,5500.0,-1.697035,,-0.570792,0.0,24.561001,51.95951461791992,192.168.100.219,1235
B,110,1777386903.587246,5550.0,-3.12846,,-0.951365,0.0,24.422001,43.44749450683594,192.168.100.219,1235
B,111,1777386903.6511579,5600.0,-1.625529,,-1.045703,0.0,24.434,63.91191482543945,192.168.100.219,1235
B,112,1777386903.6994567,5650.0,-1.887109,,-1.164312,0.0,24.563,48.29883575439453,192.168.100.219,1235
B,113,1777386903.7385228,5700.0,-1.265721,,-1.183514,0.0,24.374001,39.06607627868652,192.168.100.219,1235
B,114,1777386903.784967,5750.0,-1.558276,,-1.239043,0.0,24.443001,46.44417762756348,192.168.100.219,1235
B,115,1777386903.8369534,5800.0,-2.132039,,-1.366335,0.0,24.407,51.9864559173584,192.168.100.219,1235
B,116,1777386903.8999228,5850.0,-0.051665,,-1.165314,0.0,24.535,62.96944618225098,192.168.100.219,1235
B,117,1777386903.9387977,5900.0,-0.243725,,-1.025965,0.0,24.546,38.87486457824707,192.168.100.219,1235
B,118,1777386903.989845,5950.0,-1.766656,,-1.135442,0.0,24.41,51.047325134277344,192.168.100.219,1235
B,119,1777386904.03257,6000.0,0.484383,,-0.883211,0.0,24.546,42.7248477935791,192.168.100.219,1235
