mode,seq,arrival_timestamp,esp_time_ms,raw_value,filtered_cloud,filtered_edge,cloud_processing_ms,edge_processing_ms,arrival_interval_ms,sender_ip,sender_port
A,28,1777386797.988339,1450.0,-2.245144,-1.094166217164831,0.0,12.677804000304604,0.0,67.53778457641602,192.168.100.219,1235
A,29,1777386798.0024886,1500.0,-2.950318,-1.4023140442867463,0.0,12.4487319999389,0.0,14.149665832519531,192.168.100.219,1235
A,30,1777386798.0168033,1550.0,-2.923739,-1.6648418228541244,0.0,12.891235000097367,0.0,14.314651489257812,192.168.100.219,1235
A,31,1777386798.0307214,1600.0,-2.138202,-1.7507960900667179,0.0,27.830376999645523,0.0,13.918161392211914,192.168.100.219,1235
A,32,1777386798.0594566,1650.0,-2.008008,-1.795095692194638,0.0,34.72977899991747,0.0,28.73516082763672,192.168.100.219,1235
A,33,1777386798.0948424,1700.0,-0.059305,-1.4951439224480627,0.0,20.289535999836517,0.0,35.385847091674805,192.168.100.219,1235
A,34,1777386798.1258273,1750.0,-1.726323,-1.5424183174212187,0.0,3.090350000093167,0.0,30.984878540039062,192.168.100.219,1235
A,35,1777386798.1291387,1800.0,-2.027308,-1.628459369733115,0.0,2.155488999960653,0.0,3.3113956451416016,192.168.100.219,1235
A,36,1777386798.153838,1850.0,-1.196759,-1.5522984363712005,0.0,0.9423040000910987,0.0,24.69921112060547,192.168.100.219,1235
A,37,1777386798.2378569,1900.0,-1.772652,-1.5993002807129773,0.0,0.9454810001443548,0.0,84.01894569396973,192.168.100.219,1235
A,38,1777386798.2425697,1950.0,-0.275283,-1.372503786218838,0.0,0.8391609999307548,0.0,4.712820053100586,192.168.100.219,1235
A,39,1777386798.3406882,2000.0,0.782174,-0.9725060665878054,0.0,1.0863059997063829,0.0,98.11854362487793,192.168.100.219,1235
A,40,1777386798.34228,2050.0,0.904038,-0.632436199000075,0.0,1.0547060001044883,0.0,1.5916824340820312,192.168.100.219,1235
A,41,1777386798.473933,2100.0,0.404361,-0.4667454684272496,0.0,0.8963979998952709,0.0,131.6530704498291,192.168.100.219,1235
A,42,1777386798.4750805,2150.0,0.597797,-0.3059792293342381,0.0,0.8732539999982691,0.0,1.1475086212158203,192.168.100.219,1235
A,43,1777386798.4930952,2200.0,0.919817,-0.13707356344529972,0.0,1.1081060001743026,0.0,18.01466941833496,192.168.100.219,1235
A,44,1777386798.5815504,2250.0,1.83112,0.14174777997749388,0.0,1.0915660000136995,0.0,88.4552001953125,192.168.100.219,1235
A,45,1777386798.5982475,2300.0,2.108561,0.43042034749313524,0.0,0.8475760000692389,0.0,16.697168350219727,192.168.100.219,1235
A,46,1777386798.6823916,2350.0,2.378613,0.7281623387196159,0.0,0.8619629998065648,0.0,84.14411544799805,192.168.100.219,1235
A,47,1777386798.7027395,2400.0,2.487886,0.9832826514153579,0.0,0.8515240001543134,0.0,20.34783363342285,192.168.100.219,1235
A,48,1777386798.7839983,2450.0,2.337933,1.1634089247024118,0.0,0.8652299998175295,0.0,81.25877380371094,192.168.100.219,1235
A,49,1777386798.7976649,2500.0,2.487417,1.3216233298313718,0.0,0.868234999870765,0.0,13.666629791259766,192.168.100.219,1235
A,50,1777386798.886708,2550.0,2.535772,1.4623133193455824,0.0,0.8483479996357346,0.0,89.04314041137695,192.168.100.219,1235
A,51,1777386798.901472,2600.0,3.458321,1.6862067947509982,0.0,0.8165280000866915,0.0,14.764070510864258,192.168.100.219,1235
A,52,1777386798.9890482,2650.0,2.026388,1.7244830502671753,0.0,0.8147839998855488,0.0,87.57615089416504,192.168.100.219,1235
A,53,1777386798.993344,2700.0,2.055237,1.774393330836153,0.0,1.0043819997918035,0.0,4.295825958251953,192.168.100.219,1235
A,54,1777386799.0908134,2750.0,2.79611,1.928329894212742,0.0,1.3616440000987495,0.0,97.46932983398438,192.168.100.219,1235
A,55,1777386799.0942023,2800.0,1.248191,1.832458394011581,0.0,1.1062429998673906,0.0,3.3888816833496094,192.168.100.219,1235
A,56,1777386799.142721,2850.0,1.205605,1.7317437593660137,0.0,0.9580539999660687,0.0,48.51865768432617,192.168.100.219,1235
A,57,1777386799.1943936,2900.0,1.760461,1.7426565965544074,0.0,0.8358939999197901,0.0,51.67269706726074,192.168.100.219,1235
A,58,1777386799.2542777,2950.0,1.773184,1.749372591440685,0.0,0.923990000046615,0.0,59.884071350097656,192.168.100.219,1235
A,59,1777386799.297211,3000.0,0.083757,1.4803699417562224,0.0,0.8923000000322645,0.0,42.93322563171387,192.168.100.219,1235
A,60,1777386799.3465664,3050.0,-0.720532,1.1547934010750436,0.0,0.8480269998472068,0.0,49.355506896972656,192.168.100.219,1235
A,61,1777386799.3955657,3100.0,0.839993,1.1099990457149742,0.0,0.8577049998166331,0.0,48.99930953979492,192.168.100.219,1235
A,62,1777386799.4437222,3150.0,-0.410726,0.8856197197861839,0.0,0.9715090000099735,0.0,48.1564998626709,192.168.100.219,1235
A,63,1777386799.496417,3200.0,0.028901,0.7417240137067302,0.0,0.8633649999865156,0.0,52.69479751586914,192.168.100.219,1235
A,64,1777386799.541988,3250.0,-0.305926,0.5646330536615991,0.0,0.9971079998649657,0.0,45.57085037231445,192.168.100.219,1235
A,65,1777386799.5936658,3300.0,-0.963317,0.2844944454858521,0.0,1.0697450002226105,0.0,51.67794227600098,192.168.100.219,1235
A,66,1777386799.6491816,3350.0,-0.374042,0.16786151836116148,0.0,1.2039970001751499,0.0,55.51576614379883,192.168.100.219,1235
A,67,1777386799.6935353,3400.0,-1.318865,-0.07811558634948611,0.0,0.8218479997594841,0.0,44.35372352600098,192.168.100.219,1235
A,68,1777386799.742047,3450.0,-0.936866,-0.2318973609793626,0.0,1.5567919999739388,0.0,48.51174354553223,192.168.100.219,1235
A,69,1777386799.8011575,3500.0,-0.14137,-0.2232927482268988,0.0,0.8351129999937257,0.0,59.110403060913086,192.168.100.219,1235
A,70,1777386799.8426526,3550.0,-3.092699,-0.6665396312835057,0.0,0.8341510001628194,0.0,41.49508476257324,192.168.100.219,1235
A,71,1777386799.8925807,3600.0,-0.743549,-0.6760910467067872,0.0,0.9330869997938862,0.0,49.92818832397461,192.168.100.219,1235
A,72,1777386799.9856055,3650.0,-0.875626,-0.7113439654700879,0.0,0.8681540002726251,0.0,93.02473068237305,192.168.100.219,1235
A,73,1777386800.0308769,3700.0,-1.027344,-0.7594803510289327,0.0,0.8797760001471033,0.0,45.27139663696289,192.168.100.219,1235
A,74,1777386800.0471883,3750.0,-2.438547,-1.026177990795037,0.0,0.8485480002491386,0.0,16.3114070892334,192.168.100.219,1235
A,75,1777386800.0994258,3800.0,-0.255114,-0.9022684278640214,0.0,0.8892040000318957,0.0,52.237510681152344,192.168.100.219,1235
A,76,1777386800.1463163,3850.0,-1.675408,-1.033558581556565,0.0,0.9628330003579322,0.0,46.8904972076416,192.168.100.219,1235
A,77,1777386800.195645,3900.0,-0.678327,-0.9768800621993003,0.0,1.0967960001835309,0.0,49.32880401611328,192.168.100.219,1235
A,78,1777386800.2457538,3950.0,-0.044159,-0.8225315934182603,0.0,1.5323459997489408,0.0,50.10867118835449,192.168.100.219,1235
A,79,1777386800.2938921,4000.0,0.820922,-0.5489615862848864,0.0,0.8201939999707974,0.0,48.13838005065918,192.168.100.219,1235
A,80,1777386800.3539033,4050.0,0.432917,-0.3776732527072818,0.0,1.731901999846741,0.0,60.01114845275879,192.168.100.219,1235
A,81,1777386800.4009242,4100.0,0.810629,-0.18285466205059503,0.0,0.861281999732455,0.0,47.020912170410156,192.168.100.219,1235
A,82,1777386800.4420843,4150.0,0.934365,0.0032840287626990663,0.0,0.9097730003304605,0.0,41.16010665893555,192.168.100.219,1235
A,83,1777386800.497011,4200.0,0.203341,0.03418899364135505,0.0,0.8218269999815675,0.0,54.92663383483887,192.168.100.219,1235
A,84,1777386800.577295,4250.0,1.345536,0.25304425475481374,0.0,1.0026590002780722,0.0,80.28411865234375,192.168.100.219,1235
A,85,1777386800.5929692,4300.0,1.173105,0.40122418493880685,0.0,0.8283689999188937,0.0,15.674114227294922,192.168.100.219,1235
A,86,1777386800.6722064,4350.0,1.211265,0.5375129194523613,0.0,1.0965859996758809,0.0,79.23722267150879,192.168.100.219,1235
A,87,1777386800.7641544,4400.0,1.907902,0.7753814331677022,0.0,0.8463039998787281,0.0,91.94803237915039,192.168.100.219,1235
A,88,1777386800.7653203,4450.0,2.550865,1.0891437144971388,0.0,0.7310269998015428,0.0,1.1658668518066406,192.168.100.219,1235
A,89,1777386800.7926655,4500.0,2.430119,1.3326533958210716,0.0,1.0330250001970853,0.0,27.34518051147461,192.168.100.219,1235
A,90,1777386800.8602166,4550.0,1.866388,1.4209322313455544,0.0,1.0819780000019819,0.0,67.5511360168457,192.168.100.219,1235
A,91,1777386800.894392,4600.0,0.17404,1.2078374767140203,0.0,1.2604030002876243,0.0,34.17539596557617,192.168.100.219,1235
A,92,1777386800.94444,4650.0,1.560362,1.2578091960282656,0.0,1.4261860001170135,0.0,50.047874450683594,192.168.100.219,1235
A,93,1777386800.992257,4700.0,1.766406,1.3304825302481142,0.0,0.8651089997329109,0.0,47.817230224609375,192.168.100.219,1235
A,94,1777386801.0529547,4750.0,2.449521,1.5200377098798468,0.0,0.8319670000673796,0.0,60.69755554199219,192.168.100.219,1235
